2000-01-03T00:00:00Z		Clinton's Final Chapter: Single-Minded, Full-Steam Run at a Global Agenda	The New York Times	article	http://www.nytimes.com/2000/01/03/world/clinton-s-final-chapter-single-minded-full-steam-run-at-a-global-agenda.html	Foreign Desk	World	For much of his presidency, Bill Clinton's own aides have frequently complained that his attention to foreign policy was sporadic. The trait got him in trouble in Bosnia, and often resulted in some nasty surprises -- from the defeat of the...	For much of his presidency, Bill Clinton's own aides have frequently complained that his attention to foreign policy was sporadic. The trait got him in trouble in Bosnia, and often resulted in some nasty surprises -- from the defeat of the Comprehensive Test Ban Treaty last fall to a tear-gas-filled week in Seattle that badly damaged his global economic agenda. But some of his biggest victories in 1999 were also scored abroad, from the air campaign over Serbia that largely halted ethnic bloodshed to the Northern Ireland accord that offers the first prospect of peace there.
2000-01-05T00:00:00Z		$8 Million Offered to End Attica Inmates' Suit	The New York Times	article	http://www.nytimes.com/2000/01/05/nyregion/8-million-offered-to-end-attica-inmates-suit.html	Metropolitan Desk	Front Page; New York and Region	Determined to conclude one of the longest and ugliest chapters in criminal justice history, a federal judge announced today that the inmates who were beaten and tortured during the 1971 Attica prison uprising have been offered a settlement of $8...	Determined to conclude one of the longest and ugliest chapters in criminal justice history, a federal judge announced today that the inmates who were beaten and tortured during the 1971 Attica prison uprising have been offered a settlement of $8 million from New York State. The settlement, which provides an additional $4 million for lawyers' fees, is believed to be the biggest ever in a prisoners' rights case. But it may also be remembered as one of the longest and most vexing to hammer out, coming 25 years after a class-action civil suit was filed on behalf of 1,281 inmates over the storming of the western New York prison by state troopers. The uprising and siege left 43 people dead and more than 80 wounded.
2000-01-05T00:00:00Z		Seattle Will Drop Most of Trade Protest Cases	The New York Times	article	http://www.nytimes.com/2000/01/05/us/seattle-will-drop-most-of-trade-protest-cases.html	National Desk	U.S.	Seattle officials said today that they were dropping all but about 40 of the unresolved misdemeanor cases stemming from the tumultuous street protests of the World Trade Organization meeting here a month ago.    At least a few protesters said they...	Seattle officials said today that they were dropping all but about 40 of the unresolved misdemeanor cases stemming from the tumultuous street protests of the World Trade Organization meeting here a month ago. At least a few protesters said they opposed the city's move because they hoped to use their trials to showcase the city's mishandling of the demonstrations, which grew so raucous and tense that the National Guard was called in and the police used tear gas and rubber pellets to disperse the crowds.
2000-01-05T00:00:00Z		In Turbulent Times, a Prison Boiled Over	The New York Times	article	http://www.nytimes.com/2000/01/05/nyregion/in-turbulent-times-a-prison-boiled-over.html	Metropolitan Desk	New York and Region	Even before the rioting started on Sept. 9, 1971, the state prison in Attica, N.Y., was in ferment. So was the entire country.    Two months earlier, angry Attica inmates had petitioned state correction officials to ease chronic overcrowding and...	Even before the rioting started on Sept. 9, 1971, the state prison in Attica, N.Y., was in ferment. So was the entire country. Two months earlier, angry Attica inmates had petitioned state correction officials to ease chronic overcrowding and censorship rules, and to improve conditions that limited them to one shower a week and one roll of toilet paper a month. A sign of the brewing unrest was a fast that the prisoners held on Aug. 22 in memory of George Jackson, a prominent black radical who had been killed by prison guards in California during a breakout attempt.
2000-01-07T00:00:00Z		Irate Cuban-Americans Paralyze Miami	The New York Times	article	http://www.nytimes.com/2000/01/07/us/irate-cuban-americans-paralyze-miami.html	National Desk	U.S.	Energized by a new cause, hundreds of Cuban-Americans shut down much of Miami today with waves of civil disobedience, temporarily blocking access to the Port of Miami and choking traffic on dozens of busy streets to protest the Clinton...	Energized by a new cause, hundreds of Cuban-Americans shut down much of Miami today with waves of civil disobedience, temporarily blocking access to the Port of Miami and choking traffic on dozens of busy streets to protest the Clinton administration's decision to return 6-year-old Elian Gonzalez to his father in Cuba. About 135 protesters were arrested by riot police officers, who led most of them away peacefully in plastic handcuffs as the crowd chanted, ''Libertad Elian, libertad Elian.''
2000-01-07T00:00:00Z		Attica: Settled, But Not Healed	The New York Times	article	http://www.nytimes.com/2000/01/07/opinion/attica-settled-but-not-healed.html	Editorial Desk	Opinion	Nearly 30 years after 43 people were killed and more than 80 were injured at the uprising at the Attica Correctional Facility in upstate New York, a court settlement will require the state to pay $8 million to surviving inmates and $4 million to...	Nearly 30 years after 43 people were killed and more than 80 were injured at the uprising at the Attica Correctional Facility in upstate New York, a court settlement will require the state to pay $8 million to surviving inmates and $4 million to their lawyers. But New York has not admitted, and will not have to admit, any wrongdoing, even though inmates were killed, beaten and tortured after state troopers stormed the prison.
2000-01-09T00:00:00Z	ATTICA CORRECTIONAL FACILITY; PRISONS AND PRISONERS; SUITS AND CLAIMS AGAINST GOVERNMENT; DEMONSTRATIONS AND RIOTS; TORTURE	The Nation; Attica: Exorcising the Demons, Redeeming the Deaths	The New York Times	article	http://www.nytimes.com/2000/01/09/weekinreview/the-nation-attica-exorcising-the-demons-redeeming-the-deaths.html	Week in Review Desk	Week in Review	THE immediate spark, not that it matters after so many years, was a series of misunderstandings. One evening, hours after a prison guard mistakenly thought they had been fighting, two inmates were taken from their cells for punishment. A rumor, no...	THE immediate spark, not that it matters after so many years, was a series of misunderstandings. One evening, hours after a prison guard mistakenly thought they had been fighting, two inmates were taken from their cells for punishment. A rumor, no more true than the phantom fight, spread through the cellblock that both had been beaten. In a way, the whole thing was pretty silly. The consequences were anything but.
2000-01-23T00:00:00Z	UNIVERSITY OF CONNECTICUT; REVIEWS; NINETEEN HUNDRED SIXTIES; NEWS AND NEWS MEDIA	Mom, Dad: Where Were You in the 60's?	The New York Times	article	http://www.nytimes.com/2000/01/23/nyregion/mom-dad-where-were-you-in-the-60-s.html	Connecticut Weekly Desk	New York and Region	SOME bearded, beaded sage once remarked that if you could remember the 1960's, you probably weren't a part of them. This, of course, raises the shagadelic question: how can you forget something that will not go away?    From the repackaging of the...	SOME bearded, beaded sage once remarked that if you could remember the 1960's, you probably weren't a part of them. This, of course, raises the shagadelic question: how can you forget something that will not go away? From the repackaging of the music (more and better quality is available now from Rhino, Rycodisc and Sony Legacy than was ever available at the time), the artifacts to the resurrection of the zeitgeist with Austin Powers, Woodstock 99 and the street theater at the World Trade Organization protests in Seattle, the decade seems to want to stick around.
2000-01-26T00:00:00Z	JOHNSTON, BILL; RENO, JANET; WACO (TEX); FEDERAL BUREAU OF INVESTIGATION; JUSTICE DEPARTMENT; BRANCH DAVIDIANS; SUSPENSIONS, DISMISSALS AND RESIGNATIONS	National News Briefs; Waco Prosecutor Quits In Evidence Controversy	Reuters	article	http://www.nytimes.com/2000/01/26/us/national-news-briefs-waco-prosecutor-quits-in-evidence-controversy.html	National Desk	None	A federal prosecutor who told Attorney General Janet Reno that information about the 1993 Branch Davidian siege might have been withheld from her resigned today, his office said.      The departure of Assistant United States Attorney Bill Johnston...	A federal prosecutor who told Attorney General Janet Reno that information about the 1993 Branch Davidian siege might have been withheld from her resigned today, his office said. The departure of Assistant United States Attorney Bill Johnston came four months after he was pulled off the case and five months after he sent his letter to Ms. Reno.
2000-01-28T00:00:00Z	CHIEF DOCTOR AT LA SANTE PRISON (BOOK); VASSEUR, VERONIQUE; FRANCE; LA SANTE PRISON; PRISONS AND PRISONERS; SANITATION; BOOKS AND LITERATURE; MENTAL HEALTH AND DISORDERS; SUICIDES AND SUICIDE ATTEMPTS	Expose of Brutal Prison Jolts France's Self-Image	The New York Times	article	http://www.nytimes.com/2000/01/28/world/expose-of-brutal-prison-jolts-france-s-self-image.html	Foreign Desk	World; Health; Books	When Dr. Veronique Vasseur began working at La Sante prison in Paris, the experience was so shocking that she started keeping a diary.    Within days she had met inmates so deranged or depressed that they had swallowed rat poison, forks or drain...	When Dr. Veronique Vasseur began working at La Sante prison in Paris, the experience was so shocking that she started keeping a diary. Within days she had met inmates so deranged or depressed that they had swallowed rat poison, forks or drain cleaner.
